well_id,well_name,lat,long,gse,aquifer_id
USGS-422756121280701,"36.00S/10.00E-12ADD01",42.46562222222222,-121.46849444444445,4328,ID_00000
USGS-422758121023401,"36.00S/14.00E-10ACA01",42.4660640701091,-121.043871854256,4510,ID_00000
USGS-422813121534701,"35.00S/07.00E-04CCC01",42.5600751411575,-121.895973601639,4242,201
USGS-422817121533501,"36.00S/07.00E-09BBA01",42.47139444444445,-121.89301666666667,4155,201
USGS-422906121043801,"36.00S/14.00E-05AAB01",42.4848886016632,-121.078415351423,4425,ID_00000
USGS-423003121152601,"35.00S/12.00E-26DCD01",42.50095,-121.25732222222223,4364,ID_00000
USGS-423004121152801,"35.00S/12.00E-26DCC01",42.5010286019346,-121.258984476892,4370,ID_00000
USGS-423027121333001,"35.00S/10.00E-29CAB01",42.5074224009496,-121.559408540158,4285,ID_00000
USGS-423035121331401,"35.00S/10.00E-29ACC01",42.5095833333333,-121.554944444444,4297,ID_00000
USGS-423042121330701,"35.00S/10.00E-29ACB01",42.5113947273609,-121.552966851102,4300,ID_00000
USGS-423106121152301,"35.00S/12.00E-23DBD01",42.5184146097713,-121.256298503296,4443,ID_00000
USGS-423116121540501,"35.00S/07.00E-20DBA01",42.5209643362387,-121.902603539465,4162,201
USGS-423121121541201,"35.00S/07.00E-20DBB01",42.522225418435,-121.904528626303,4150,201
USGS-423123121544601,"35.00S/07.00E-20BCD01",42.523088888888886,-121.91287222222223,4149,201
USGS-423124121542201,"35.00S/07.00E-20BDD01",42.5233142722662,-121.907323181139,4150,201
USGS-423132121340801,"35.00S/10.00E-19ACA02",42.5254526290509,-121.569975892118,4295,ID_00000
USGS-423133121340801,"35S/10E-19ACA",42.5253637419081,-121.569917555296,4295,ID_00000
USGS-423137121320301,"35.00S/10.00E-21ACB01",42.5267199869157,-121.535322468081,4338,ID_00000
USGS-423143121530601,"35.00S/07.00E-21ABB01",42.5285338563033,-121.886167073756,4160,201
USGS-423151121553700,"HENZEL PARK @ AGENCY LAKE DOMESTIC WELL NO. 1",42.5306917943009,-121.928071204777,,201
USGS-423152121422701,"35.00S/08.00E-13DCD01",42.5310248168224,-121.707375948151,4333,ID_00000
USGS-423159121543401,"35.00S/07.00E-17CDB01",42.5329447085176,-121.910454035449,4230,201
USGS-423208121541801,"35.00S/07.00E-17DBC01",42.535463888888884,-121.90499166666667,4223,201
USGS-423210121525701,"35.00S/07.00E-16DBA01",42.53617777777777,-121.88255555555556,4209,201
USGS-423227121330001,"35.00S/10.00E-17ACA01",42.5406251380027,-121.551034257441,4360,ID_00000
USGS-423228121330901,"35.00S/10.00E-17BCC01",42.5410473067231,-121.553542650726,4360,ID_00000
USGS-423228121414401,"35.00S/09.00E-18BDB01",42.5410860919932,-121.695670411939,4300,ID_00000
USGS-423238121540501,"35.00S/07.00E-17DBB01",42.54382222222222,-121.90125555555557,4239,201
USGS-423245121405001,"35.00S/09.00E-08CCC01",42.54583611111111,-121.68042222222223,4384,ID_00000
USGS-423248121534701,"35.00S/07.00E-08DDA02",42.5465002536689,-121.897515029289,4235,201
USGS-423249121534601,"35.00S/07.00E-08DDA01",42.5466891424963,-121.897328916412,4235,201
USGS-423258121551401,"35.00S/07.00E-07DAC01",42.54955555555556,-121.92055277777779,4285,201
USGS-423259121455101,"35.00S/08.00E-09DAC01",42.5498320034947,-121.76423321338,4410,ID_00000
USGS-423301121553401,"35.00S/07.00E-07DBC01",42.550216666666664,-121.92597500000001,4187,201
USGS-423305121413701,"35.00S/09.00E-07CAA01",42.5514443932393,-121.693578960526,4310,ID_00000
USGS-423305121454001,"35.00S/08.00E-09DAA01",42.5513486879128,-121.761035928603,4385,ID_00000
USGS-423318121525401,"35.00S/07.00E-09ACA01",42.5549864209047,-121.882884203136,4238,201
USGS-423321121554401,"35.00S/07.00E-07BAD01",42.5558720980702,-121.928830077384,4157,201
