well_id,well_name,lat,long,aquifer_id
761,Sunnyside - Linstead Exp. I,18.1505,-77.0154,3
762,Sunnyside - Linstead Exp. II,18.1502,-77.0159,3
764,Belfield- St. James,18.4436,-77.9092,7
765,Bog Walk 1 (Base Flow 1),18.0971,-77.0119,3
766,Brucefield,17.9797,-77.7819,5
770,Cave Valley,18.2244,-77.371,9
776,Garrick Foyle Dug,18.458,-77.6898,8
781,Wakefield School,18.4169,-77.7351,8
783,Barbary Hall,17.9538,-77.7669,5
784,Edgecombe 2,18.1235,-77.9997,6
790,Cornwall Dairy - Montpelier 2,18.3736,-77.929,7
791,Cotton Tree Gully 1,17.851,-77.2439,4
796,Rest Haven,17.9459,-76.6839,2
799,Church Pen,17.9414,-77.0922,3
801,Craigallachie 1,17.983045,-76.9365,3
803,Gales Valley,18.419,-77.747,8
804,Hampden,18.4429,-77.7343,8
810,Waite,17.8388,-77.2968,4
812,Milk Pen,17.8676,-77.3655,4
814,Raymonds 5,17.8483,-77.2324,4
815,Ridge Pen,17.9512,-77.7498,5
822,Quaminus 1 (Cotton Tree Gully 4),17.8581,-77.2527,4
823,Salt Spring CH,18.4937,-77.8616,7
829,Yallahs-Easington EB 1,17.9063,-76.5882,1
831,Bay Filly - Mountainside,17.9535,-77.7395,5
837,Hartlands Expl. I,17.9711,-77.0006,3
840,Southfield 2,18.4485,-77.6464,8
846,Georges Valley,18.4472,-77.7136,8
847,Grove Farm 2 (R),17.9541,-77.0712,3
850,Sedge Pond,17.854,-77.3139,4
851,Southfield 1,18.4476,-77.6445,8
852,Barbary Hall,17.956,-77.7681,5
856,Fontabelle,18.389,-77.6565,8
860,Spring Garden Farm,17.9673,-77.0724,3
863,Stonefield,17.9713,-77.7819,5
865,Bellefield 2,18.4468,-77.7433,8
867,Bodles (JPS 2),17.926,-77.131,3
871,Whim 2 (Works Yard),17.928,-77.116,3
873,Friendship CH (Bunkers Hill),18.3951,-77.6958,8
879,Nixon  Observation Well,17.945,-77.7542,5
887,Brucefield Exp VI,17.979,-77.788,5
888,Cockburn Pen- Hagley Park Road,18.0011,-76.8217,2
889,Kemps Hill 4,17.8549,-77.2843,4
890,Oakland Road,17.9954,-76.8171,2
892,Cambridge,18.4343,-77.5958,8
893,Dry River 2 CH,17.8686,-77.2503,4
895,Kemps Hill 1 Index  Well CHC 8/99,17.8554,-77.2842,4
896,Newell,17.9355,-77.7442,5
902,Gravel Hill Exp. III,17.9079,-77.3367,4
904,Belfield 1,18.447,-77.744,8
907,Budley Park 1 (Cattle Pasture),17.8775,-77.3301,4
908,Lloyds Pen (Yallahs) - Southhaven,17.8809,-76.5855,1
910,Caswell Hill 2,17.8653,-77.268,4
915,Tripoli,18.4488,-77.3239,9
919,Hayes Common 2,17.8529,-77.2392,4
924,Ridge Pen-Pedro 2 (Hounslow 4),17.9409,-77.751,5
927,Woodburn - Easington,17.9101,-76.5872,1
929,Hounslow (Recon),17.9591,-77.7288,5
933,Riversdale,18.167,-76.9598,3
937,Moneague BH 3 (Rio Hoe Farm),18.2869,-77.0927,9
938,Moneague BH 3A (Rio Hoe Farm),18.2869,-77.0927,9
940,West Prospect CH,18.1298,-76.971,3
942,Georges Valley   Exp VIII,18.4724,-77.7187,8
943,Rest Corehole,17.8861,-77.3596,4
947,Watchwell (Newell),17.9268,-77.7429,5
950,Green Pond,18.4754,-77.8765,7
952,Orange Hill,18.4674,-77.7443,8
959,May Pen Corehole,17.9623,-77.2404,4
960,Norris - Borehole HH - 3,17.9148,-76.5787,1
963,Ridge Pen-Pedro 3,17.9516,-77.7515,5
964,Dumferies,18.442,-77.7652,8
965,Newell,17.9267,-77.7436,5
968,Gravel Hill,17.905,-77.3286,4
970,Mango Walk 2,17.994892,-77.012937,3
972,Old Harbour (Rerries),17.937,-77.1183,3
973,Orange Grove,18.4735,-77.6114,8
975,Hayes Terrier,17.8956,-77.2383,4
976,Hounslow,17.9567,-77.726,5
980,St. Jago (Toll  Gate),17.971,-77.368,4
981,Gayles Valley CH,18.419,-77.747,8
984,Hounslow 2 - Bigwoods 2,17.9388,-77.7155,5
985,Ironshore Estate,18.5123,-77.8781,7
986,Ironshore Estate 1,18.5164,-77.8677,7
989,Passide (ABD),17.8994,-77.3586,4
991,Spring Plain,17.9279,-77.368,4
995,Reading-Bogue 1,18.4405,-77.9394,7
998,Deeside Expl. V,18.3887,-77.7341,8
999,Hounslow,17.9558,-77.7263,5
1002,Friendship II,18.0203,-77.6374,5
1004,Bogue-St. James,18.438,-77.9268,7
1008,Prospect 1,17.8808,-76.3725,1
1009,Spring Plain CH,17.9131,-77.3631,4
1010,Gilnock Hall,18.0545,-77.6584,5
1013,Prospect 2,17.8808,-76.3723,1
1014,Rhymesbury 1 CH (Short Pipe) CHC 9/99,17.9071,-77.32,4
1015,St. Jago 2 (Harmons Road),17.9502,-77.3856,4
1016,Stonefield,17.9628,-77.7799,5
1019,Old Harbour Vaz 2,17.9388,-77.1145,3
1021,Bigwoods,17.9206,-77.7285,5
1025,Green Park,18.4644,-77.7019,8
1026,Nutshell,18.1722,-77.0728,3
1028,Cambridge Exp II,18.4338,-77.5924,8
1029,Kent,18.4828,-77.7416,8
1032,Longville Park 3,17.9007,-77.1476,4
1038,St. John's Road (Friendship Park),18.006,-76.99,3
1039,Lansquinett,18.4198,-77.6616,8
1043,Braco,18.4675,-77.4937,9
1044,Glade Exploratory,18.0629,-76.9152,3
1048,Vernamfield Exploratory I,17.8898,-77.2935,4
1050,Berwick CH,18.1521,-76.9889,3
1053,Berrydale 1,18.4504,-77.4163,9
1054,Berrydale 2,18.450114,-77.4187,9
1056,Legister,17.975,-77.7982,5
1057,East Albion - Poormans Corner,17.8885,-76.5858,1
1058,Glendevon CH,18.4809,-77.8944,7
1061,Merrywood,18.4578,-77.6713,8
1062,Pepper 1,18.0363,-77.6198,5
1071,Rhymesbury 1,17.928,-77.3216,4
1072,Blunters,17.8933,-77.7486,5
1073,Buttercup Park CH,18.0144,-76.7474,2
1076,Walker Piece,18.031,-77.6561,5
1077,Moneague BH 1 (Watson Hill),18.2684,-77.0936,9
1078,Bodles 2,17.931,-77.138,3
1080,Belfield  Dug,18.452,-77.7485,8
1084,Tredegar Park 2,18.0142,-76.9559,3
1087,Hounslow (Industry  Pen),17.9484,-77.7249,5
1088,New Yarmouth 3 (aka New Yarmouth 7),17.8819,-77.2767,4
1093,Big Ground - Newcombe Valley,17.9067,-77.7624,5
1096,Duanvale I Public Supply,18.4033,-77.5858,8
1100,Yallahs - Norris EB2,17.914,-76.5795,1
1101,Halse Hall 1 (aka Block A),17.93,-77.249,4
1106,Bodles Livestock,17.9421,-77.1328,3
1107,Goodwill,18.4754,-77.7469,8
1108,Windsor Lodge 10 (aka Cooks Gate),17.9061,-77.2755,4
1111,Hayes Cornpiece CH,17.8812,-77.2337,4
1112,Lacovia CH (Index),18.07,-77.759,5
1115,Vernamfield B,17.9095,-77.2857,4
1119,Moores CH,18.0225,-77.2049,4
1120,Kirkpatrick Hall CH,18.459,-77.8472,7
1125,Havendale 2,18.0554,-76.8125,2
1129,St. Jago 1,17.9859,-77.3864,4
1132,Sterling Castle Exp. I (Sterling Castle Deep Well),18.1761,-77.0479,3
1134,Deanery Road,17.9806,-76.7713,2
1137,Negril Spots (Rockwell),18.2565,-78.2848,6
1143,Osbourne Store Belle Plain,17.9682,-77.3209,4
1144,Bounty Hall CH,18.4403,-77.7107,8
1146,Wallens,18.1725,-76.9998,3
1149,Lluidas Vale 1,18.1328,-77.1588,3
1150,Trench Town,17.9915,-76.8004,2
1151,Jamintel  CH,18.0155,-76.815,2
1156,Duanvale Expl IV,18.404,-77.5993,8
